City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Abu Kamal,SY,2022-04-20 19:48:43,34.4506,40.9171,68.59,31,0,10.56
110,Cartagena Del Chaira,CO,2022-04-20 19:50:38,1.3349,-74.8429,80.69,84,96,1.01
111,Norman Wells,CA,2022-04-20 19:50:39,65.282,-126.8329,28.44,37,0,3.44
112,Wajima,JP,2022-04-20 19:50:39,37.4,136.9,56.39,57,55,7.9
113,Poum,NC,2022-04-20 19:50:40,-20.2333,164.0167,77.18,79,19,11.34
114,Nemuro,JP,2022-04-20 19:50:40,43.3236,145.575,40.21,92,0,19.01
115,Afua,BR,2022-04-20 19:50:41,-0.1567,-50.3867,81.68,83,100,5.26
116,Clyde River,CA,2022-04-20 19:50:41,70.4692,-68.5914,3.43,78,75,13.8
117,Fuquay-Varina,US,2022-04-20 19:47:09,35.5843,-78.8,67.26,34,31,7.0
118,Constitucion,CL,2022-04-20 19:50:42,-35.3333,-72.4167,60.19,57,5,14.92
119,Tuktoyaktuk,CA,2022-04-20 19:50:42,69.4541,-133.0374,3.2,85,40,4.61
120,Natal,BR,2022-04-20 19:50:43,-5.795,-35.2094,86.65,66,20,14.97
121,Bourail,NC,2022-04-20 19:50:43,-21.5667,165.4833,71.73,86,13,4.52
122,Albany,US,2022-04-20 19:49:39,42.6001,-73.9662,52.18,40,8,1.99
123,Gwanda,ZW,2022-04-20 19:50:44,-20.9333,29.0,58.26,95,100,9.19
124,Bereda,ES,2022-04-20 19:50:44,43.2686,-7.5406,41.14,86,6,2.51
125,Moron,AR,2022-04-20 19:50:45,-34.6534,-58.6198,80.96,50,74,5.75
126,Paamiut,GL,2022-04-20 19:50:45,61.994,-49.6678,25.83,59,100,3.02
127,Yellowknife,CA,2022-04-20 19:50:46,62.456,-114.3525,30.72,34,0,8.05
128,West Sacramento,US,2022-04-20 19:50:30,38.5805,-121.5302,70.36,47,0,12.66
129,Madras,IN,2022-04-20 19:49:57,13.0878,80.2785,85.98,87,20,3.44
130,Pa Sang,TH,2022-04-20 19:50:47,18.5262,98.9394,79.02,49,22,2.19
